stop_id,stop_name,stop_desc,stop_lat,stop_lon
6703,,,43.0487182,-88.0052861
6706,,,43.0462069,-87.9976369
6705,,,43.0470678,-88.0002357
3690,,,43.0604876,-87.9325056
3691,,,43.0605175,-87.9349076
3692,,,43.0605354,-87.9374073
3693,,,43.0605775,-87.9386673
3694,,,43.0605676,-87.940846
3695,,,43.0606175,-87.9423939
1033,,,43.0785637,-87.9052171
1032,,,43.0804161,-87.905206
1031,,,43.0822183,-87.9051518
1030,,,43.0841139,-87.905098
2361,,,42.9638652,-88.0479391
6719,,,43.0428434,-87.9608147
1029,,,43.0860115,-87.9050367
2359,,,42.9686148,-88.0478736
1028,,,43.0891372,-87.9051355
1027,,,43.0891115,-87.9068702
1026,,,42.9784197,-87.9480362
2357,,,42.9618765,-88.0480025
2355,,,43.020358,-87.9747915
2354,,,43.0193961,-87.9766142
6711,,,43.0439058,-87.9811243
3686,,,43.0604363,-87.9239658
6710,,,43.0433751,-87.9838509
3687,,,43.0604859,-87.9266852
6713,,,43.0440161,-87.9757547
6712,,,43.0444475,-87.9779369
3688,,,43.0604776,-87.927887
6715,,,43.042527,-87.9701238
3689,,,43.0604673,-87.9298861
6714,,,43.0430655,-87.9727739
6717,,,43.0419404,-87.9647962
6716,,,43.0423669,-87.9679252
2375,,,43.0892273,-87.8799261
2374,,,43.0890862,-87.8775118
1042,,,43.0622519,-87.9054879
1041,,,43.0640665,-87.905508
2372,,,43.0859524,-87.8775383
1040,,,43.0658559,-87.9055066
1039,,,43.0676902,-87.9054063
1038,,,43.0696884,-87.9054127
2369,,,43.0780605,-87.8826666
1037,,,43.1118885,-87.9860736
1036,,,43.073116,-87.9053851
2366,,,42.9638605,-88.0476702
1035,,,43.074968,-87.9053553
1034,,,43.076757,-87.9053277
2365,,,42.9619507,-88.04769
3696,,,43.0606769,-87.9449147
3697,,,43.0607477,-87.9473154
3698,,,43.0607422,-87.9497485
3699,,,43.0606765,-87.9526553
5410,,,42.9391708,-87.8498401
5411,,,42.9412704,-87.8498337
1055,,,43.0894854,-88.0040215
1054,,,43.0413249,-87.9070204
2384,,,43.1779773,-88.0088831
1052,,,43.0427944,-87.904549
2382,,,43.1036888,-87.8883352
1051,,,43.043828,-87.9046371
1050,,,43.0459361,-87.9049466
2380,,,43.1036985,-87.8890091
5409,,,42.9371868,-87.8498649
1049,,,43.0479265,-87.9048297
1048,,,43.0483367,-87.9035545
1047,,,43.0507694,-87.9036058
1046,,,43.1157545,-87.986
2377,,,43.0892262,-87.8848768
2376,,,43.089247,-87.8823071
1045,,,43.0566577,-87.905455
5408,,,42.9341315,-87.8498377
5420,,,42.959187,-87.8598173
5421,,,42.9591584,-87.8654386
5422,,,42.9591655,-87.8697657
1066,,,43.0123648,-87.9151509
1065,,,43.0123723,-87.9137668
2396,,,43.1762012,-87.9197832
1064,,,43.1852489,-87.9640358
2394,,,43.250027,-87.978978
1063,,,43.1190377,-87.9860551
1062,,,43.0297182,-87.9080835
1061,,,43.0309764,-87.9066562
2392,,,43.2492264,-87.9760835
1060,,,43.0329017,-87.9059804
2391,,,43.1826956,-87.9632662
1059,,,43.0341283,-87.906118
1058,,,43.0352773,-87.9062134
1056,,,43.0377393,-87.9065145
5412,,,42.944432,-87.8498198
5413,,,42.9463615,-87.8498193
5414,,,42.948238,-87.8499178
5415,,,42.9506651,-87.8499596
5416,,,42.9517879,-87.8499725
5418,,,42.9572932,-87.8500894
5419,,,42.9592495,-87.852517
5430,,,42.9592679,-87.8970376
4100,,,43.0952412,-88.0501008
5431,,,42.9592863,-87.8995145
5432,,,42.9592859,-87.9094545
4101,,,43.0918082,-88.0478848
6764,,,43.042118,-87.9641355
5433,,,42.9593174,-87.9129549
4102,,,43.0898797,-88.0479352
